group,Space_Flight_mean,Terrestrial_Soil_mean,Log2FC,n_Space_samples,n_Terr_samples
mammal_gut,0.0292076408883598,0.0,14.834107609019473,106,20
human_gut,0.0292076408883598,0.0,14.834107609019473,106,20
thiosulfate_respiration,0.00043246515269896034,0.0,8.759772206176462,106,20
knallgas_bacteria,0.00022581099989533947,0.0,7.8253467996740484,106,20
aromatic_hydrocarbon_degradation,0.016211808038178035,0.0005948132286462051,4.766130019628327,106,20
nitrite_denitrification,0.1480454150777784,0.010230428216495346,3.8549701046239893,106,20
denitrification,0.1480454150777784,0.010230428216495346,3.8549701046239893,106,20
nitrite_respiration,0.1480454150777784,0.010230428216495346,3.8549701046239893,106,20
nitrate_denitrification,0.1480454150777784,0.010230428216495346,3.8549701046239893,106,20
dark_thiosulfate_oxidation,1.043129873633161e-05,0.0,3.5149174156772354,106,20
photoautotrophy,0.16755644901160277,0.01990085022042394,3.0736813595702834,106,20
oxygenic_photoautotrophy,0.16755644901160277,0.01990085022042394,3.0736813595702834,106,20
photosynthetic_cyanobacteria,0.16755644901160277,0.01990085022042394,3.0736813595702834,106,20
nitrogen_fixation,4.737298486912234,0.6569739411406744,2.8501546321199718,106,20
dark_oxidation_of_sulfur_compounds,0.41324264710164654,0.08267251769150685,2.321495462053091,106,20
ureolysis,2.665799141250685,0.675455844583974,1.9806331208242423,106,20
fermentation,1.6914873268006039,0.6212216007423198,1.4451109983438908,106,20
nitrate_reduction,1.6692897365727053,0.6238132441539345,1.4200468468482876,106,20
phototrophy,0.16892206173577384,0.08770895222349648,0.9455538454019801,106,20
methanol_oxidation,0.25764972568481864,0.1360093948644008,0.9216997393904661,106,20
methylotrophy,0.25775537972293483,0.15246005898665735,0.7575673340057814,106,20
human_associated,0.2660004303773664,0.16891937359717465,0.6550906605643699,106,20
human_pathogens_all,0.23679278948900667,0.16891937359717465,0.48728790013771317,106,20
aerobic_chemoheterotrophy,40.58548009368925,29.968855893262866,0.43749965912601185,106,20
nonphotosynthetic_cyanobacteria,0.09903549725583968,0.08053737295459763,0.2982839628174474,106,20
dark_hydrogen_oxidation,0.08077550414898264,0.07255202024455462,0.15490003813940817,106,20
chemoheterotrophy,41.73981730975641,39.57127739145539,0.07697064673725015,106,20
anammox,0.0,0.0,0.0,106,20
invertebrate_parasites,0.0,0.0,0.0,106,20
human_pathogens_pneumonia,0.0,0.0,0.0,106,20
human_pathogens_nosocomia,0.0,0.0,0.0,106,20
human_pathogens_gastroenteritis,0.0,0.0,0.0,106,20
human_pathogens_diarrhea,0.0,0.0,0.0,106,20
dark_sulfite_oxidation,0.0,0.0,0.0,106,20
fish_parasites,0.0,0.0,0.0,106,20
aerobic_anoxygenic_phototrophy,0.0,0.0,0.0,106,20
nitrous_oxide_denitrification,0.0,0.0,0.0,106,20
plant_pathogen,0.0,0.0,0.0,106,20
oil_bioremediation,0.0,0.0,0.0,106,20
methanogenesis_by_reduction_of_methyl_compounds_with_H2,0.0,0.0,0.0,106,20
anoxygenic_photoautotrophy,0.0,0.0,0.0,106,20
anoxygenic_photoautotrophy_Fe_oxidizing,0.0,0.0,0.0,106,20
anoxygenic_photoautotrophy_S_oxidizing,0.0,0.0,0.0,106,20
anoxygenic_photoautotrophy_H2_oxidizing,0.0,0.0,0.0,106,20
chlorate_reducers,0.0,0.0,0.0,106,20
chloroplasts,0.0,0.0,0.0,106,20
human_pathogens_septicemia,0.0,0.0,0.0,106,20
human_pathogens_meningitis,0.0,0.0,0.0,106,20
sulfite_respiration,0.0,0.0,0.0,106,20
methanogenesis_by_disproportionation_of_methyl_groups,0.0,0.0,0.0,106,20
dissimilatory_arsenite_oxidation,0.0,0.0,0.0,106,20
reductive_acetogenesis,0.0,0.0,0.0,106,20
arsenite_oxidation_energy_yielding,0.0,0.0,0.0,106,20
arsenite_oxidation_detoxification,0.0,0.0,0.0,106,20
dissimilatory_arsenate_reduction,0.0,0.0,0.0,106,20
nitrate_ammonification,0.0,0.0,0.0,106,20
acetoclastic_methanogenesis,0.0,0.0,0.0,106,20
arsenate_respiration,0.0,0.0,0.0,106,20
nitrite_ammonification,0.0,0.0,0.0,106,20
methanogenesis_using_formate,0.0,0.0,0.0,106,20
plastic_degradation,0.0,0.0,0.0,106,20
dark_sulfur_oxidation,0.0,0.0,0.0,106,20
arsenate_detoxification,0.0,0.0,0.0,106,20
manganese_oxidation,0.0,0.0,0.0,106,20
ligninolysis,0.0,0.0,0.0,106,20
animal_parasites_or_symbionts,0.3521164798836353,0.43884993780793585,-0.31767414279808004,106,20
aromatic_compound_degradation,1.5349653891268122,1.9209507965436259,-0.3236142516335842,106,20
hydrocarbon_degradation,0.03501543471375048,0.04653053082401111,-0.4101764509486172,106,20
nitrate_respiration,0.2866982565015035,0.45684109918408317,-0.6721574416803545,106,20
nitrogen_respiration,0.2866982565015035,0.45684109918408317,-0.6721574416803545,106,20
aliphatic_non_methane_hydrocarbon_degradation,0.016211808038178035,0.02948505347310834,-0.8628987539808073,106,20
predatory_or_exoparasitic,1.3434215655349153,5.000552418143615,-1.896174601525754,106,20
methanogenesis_by_CO2_reduction_with_H2,0.00033738242222585427,0.0018154408648753066,-2.4243878662775162,106,20
hydrogenotrophic_methanogenesis,0.00033738242222585427,0.0018154408648753066,-2.4243878662775162,106,20
intracellular_parasites,0.08647983359924116,0.6317140454850182,-2.868821598565706,106,20
methanogenesis,0.00033738242222585427,0.0024978483986544796,-2.8845368453631144,106,20
xylanolysis,3.666629328158008e-05,0.0008388792573122309,-4.478835967544483,106,20
photoheterotrophy,0.001365612724171055,0.06780810200307252,-5.632802569391304,106,20
methanotrophy,0.0001056540381162036,0.016450664122256563,-7.269151123139124,106,20
respiration_of_sulfur_compounds,0.00043246515269896034,0.09311100511896137,-7.746907362736103,106,20
cellulolysis,0.0066616138431365565,1.8859318383158796,-8.144974305245821,106,20
aerobic_ammonia_oxidation,0.004462225270969896,7.3353163096874905,-10.682557034601848,106,20
nitrification,0.004462225270969896,7.3409906051291385,-10.683672611869895,106,20
fumarate_respiration,0.0,0.002445187056809846,-11.256319013798652,106,20
sulfur_respiration,0.0,0.002445187056809846,-11.256319013798652,106,20
chitinolysis,0.00036143113004401755,0.9354020592031675,-11.333665554606506,106,20
dark_iron_oxidation,0.0,0.002780340183478648,-11.441564495007563,106,20
manganese_respiration,0.0,0.0030400002854560513,-11.570330236455332,106,20
aerobic_nitrite_oxidation,0.0,0.005674295441649329,-12.470479782106676,106,20
iron_respiration,0.0,0.006546932330099464,-12.676823696954546,106,20
dark_sulfide_oxidation,0.0,0.054063009717756204,-15.7223808944816,106,20
sulfate_respiration,0.0,0.09066581806215152,-16.46828703420597,106,20
