Function,Space_Mean,Space_SD,Terr_Mean,Terr_SD,MWU_stat,p_raw,q_BH,sig
nitrification,0.1981,0.4664,4.8,0.7678,1.5,0.0,0.0,***
fermentation,3.3774,2.2864,8.85,2.9249,131.0,0.0,0.0,***
aerobic_chemoheterotrophy,17.4057,7.7518,37.95,7.7898,63.0,0.0,0.0,***
cellulolysis,0.0283,0.2164,1.4,0.6806,23.0,0.0,0.0,***
sulfate_respiration,0.0,0.0,0.75,0.8507,477.0,0.0,0.0,***
nitrate_reduction,4.7547,2.0555,7.95,2.1637,324.0,1e-06,1e-06,***
nitrogen_fixation,1.5755,0.8939,1.3,0.8013,1405.0,0.010856,0.015509,*
methylotrophy,0.9623,0.4766,0.75,0.8507,1270.0,0.085674,0.107093,n.s.
ureolysis,3.0849,1.6797,2.8,1.1517,1261.0,0.169224,0.188026,n.s.
denitrification,0.9245,0.5291,1.05,0.2236,936.5,0.275541,0.275541,n.s.
