iteration,n_subsample,edges,density,avg_degree,negative_edges
1,20,9,0.0989,1.2857,2
2,20,12,0.1143,1.6,1
3,20,19,0.2879,3.1667,4
4,20,22,0.3333,3.6667,7
5,20,22,0.2418,3.1429,4
6,20,14,0.1795,2.1538,3
7,20,15,0.1923,2.3077,4
8,20,20,0.2564,3.0769,6
9,20,26,0.3939,4.3333,12
10,20,21,0.3182,3.5,4
11,20,16,0.2424,2.6667,2
12,20,18,0.2727,3.0,6
13,20,16,0.2051,2.4615,1
14,20,10,0.1099,1.4286,3
15,20,18,0.2308,2.7692,4
16,20,23,0.2949,3.5385,7
17,20,15,0.2273,2.5,9
18,20,24,0.2637,3.4286,7
19,20,20,0.303,3.3333,10
20,20,19,0.2436,2.9231,7
21,20,14,0.2121,2.3333,2
22,20,18,0.2727,3.0,3
23,20,13,0.1667,2.0,3
24,20,11,0.1667,1.8333,1
25,20,14,0.2121,2.3333,6
26,20,15,0.1923,2.3077,3
27,20,18,0.2308,2.7692,10
28,20,14,0.1795,2.1538,2
29,20,16,0.2424,2.6667,4
30,20,22,0.3333,3.6667,9
31,20,14,0.2121,2.3333,1
32,20,10,0.1282,1.5385,0
33,20,16,0.1758,2.2857,5
34,20,13,0.1429,1.8571,2
35,20,16,0.1758,2.2857,6
36,20,23,0.3485,3.8333,5
37,20,11,0.141,1.6923,0
38,20,22,0.3333,3.6667,9
39,20,19,0.2879,3.1667,5
40,20,13,0.197,2.1667,0
41,20,19,0.2879,3.1667,4
42,20,18,0.2308,2.7692,6
43,20,17,0.2576,2.8333,1
44,20,11,0.1667,1.8333,1
45,20,16,0.1758,2.2857,5
46,20,30,0.3846,4.6154,9
47,20,16,0.2424,2.6667,6
48,20,23,0.2949,3.5385,6
49,20,12,0.1538,1.8462,2
50,20,10,0.1515,1.6667,5
51,20,26,0.3333,4.0,7
52,20,11,0.1667,1.8333,0
53,20,19,0.2088,2.7143,7
54,20,13,0.1667,2.0,1
55,20,16,0.1758,2.2857,3
56,20,15,0.2273,2.5,2
57,20,19,0.2436,2.9231,9
58,20,12,0.1538,1.8462,3
59,20,14,0.1795,2.1538,2
60,20,18,0.1978,2.5714,5
61,20,13,0.1667,2.0,2
62,20,17,0.2179,2.6154,3
63,20,16,0.2424,2.6667,7
64,20,24,0.3077,3.6923,3
65,20,19,0.2436,2.9231,3
66,20,25,0.3205,3.8462,9
67,20,20,0.2564,3.0769,10
68,20,13,0.197,2.1667,6
69,20,18,0.2308,2.7692,3
70,20,19,0.2088,2.7143,7
71,20,19,0.2436,2.9231,6
72,20,24,0.3077,3.6923,11
73,20,14,0.2121,2.3333,3
74,20,13,0.1429,1.8571,4
75,20,17,0.2179,2.6154,2
76,20,16,0.1758,2.2857,4
77,20,17,0.2179,2.6154,3
78,20,15,0.1923,2.3077,4
79,20,16,0.2051,2.4615,1
80,20,8,0.0879,1.1429,3
81,20,20,0.2564,3.0769,3
82,20,17,0.1619,2.2667,5
83,20,15,0.1923,2.3077,1
84,20,16,0.1758,2.2857,0
85,20,21,0.2692,3.2308,12
86,20,14,0.1795,2.1538,5
87,20,18,0.1978,2.5714,1
88,20,18,0.2727,3.0,6
89,20,22,0.3333,3.6667,6
90,20,15,0.1648,2.1429,2
91,20,11,0.141,1.6923,0
92,20,16,0.2424,2.6667,5
93,20,18,0.2727,3.0,6
94,20,17,0.2576,2.8333,8
95,20,18,0.1978,2.5714,6
96,20,17,0.1868,2.4286,6
97,20,22,0.2821,3.3846,7
98,20,17,0.2576,2.8333,4
99,20,13,0.1429,1.8571,0
100,20,21,0.2692,3.2308,7
