Group,Attack,Frac_Removed,LCC_Size,LCC_Std
Space_Flight,Targeted,0.0,1.0,
Space_Flight,Targeted,0.0667,0.4,
Space_Flight,Targeted,0.1333,0.2667,
Space_Flight,Targeted,0.2,0.1333,
Space_Flight,Targeted,0.2667,0.1333,
Space_Flight,Targeted,0.3333,0.0667,
Space_Flight,Targeted,0.4,0.0667,
Space_Flight,Targeted,0.4667,0.0667,
Space_Flight,Targeted,0.5333,0.0667,
Space_Flight,Targeted,0.6,0.0667,
Space_Flight,Targeted,0.6667,0.0667,
Space_Flight,Targeted,0.7333,0.0667,
Space_Flight,Targeted,0.8,0.0667,
Space_Flight,Targeted,0.8667,0.0667,
Space_Flight,Targeted,0.9333,0.0667,
Space_Flight,Targeted,1.0,0.0,
Space_Flight,Random,0.0,1.0,0.0
Space_Flight,Random,0.0667,0.4353,0.0333
Space_Flight,Random,0.1333,0.4047,0.0461
Space_Flight,Random,0.2,0.3726,0.0563
Space_Flight,Random,0.2667,0.3401,0.0636
Space_Flight,Random,0.3333,0.3052,0.0696
Space_Flight,Random,0.4,0.2711,0.072
Space_Flight,Random,0.4667,0.2385,0.0711
Space_Flight,Random,0.5333,0.2065,0.0714
Space_Flight,Random,0.6,0.1757,0.0678
Space_Flight,Random,0.6667,0.1455,0.0615
Space_Flight,Random,0.7333,0.1184,0.0538
Space_Flight,Random,0.8,0.0949,0.0407
Space_Flight,Random,0.8667,0.0769,0.0241
Space_Flight,Random,0.9333,0.0667,0.0
Space_Flight,Random,1.0,0.0,0.0
Terrestrial_Soil,Targeted,0.0,1.0,
Terrestrial_Soil,Targeted,0.0667,0.6667,
Terrestrial_Soil,Targeted,0.1333,0.3333,
Terrestrial_Soil,Targeted,0.2,0.3333,
Terrestrial_Soil,Targeted,0.2667,0.2,
Terrestrial_Soil,Targeted,0.3333,0.0667,
Terrestrial_Soil,Targeted,0.4,0.0667,
Terrestrial_Soil,Targeted,0.4667,0.0667,
Terrestrial_Soil,Targeted,0.5333,0.0667,
Terrestrial_Soil,Targeted,0.6,0.0667,
Terrestrial_Soil,Targeted,0.6667,0.0667,
Terrestrial_Soil,Targeted,0.7333,0.0667,
Terrestrial_Soil,Targeted,0.8,0.0667,
Terrestrial_Soil,Targeted,0.8667,0.0667,
Terrestrial_Soil,Targeted,0.9333,0.0667,
Terrestrial_Soil,Targeted,1.0,0.0,
Terrestrial_Soil,Random,0.0,1.0,0.0
Terrestrial_Soil,Random,0.0667,0.7296,0.0456
Terrestrial_Soil,Random,0.1333,0.6594,0.0687
Terrestrial_Soil,Random,0.2,0.5899,0.0835
Terrestrial_Soil,Random,0.2667,0.5228,0.0959
Terrestrial_Soil,Random,0.3333,0.4563,0.0989
Terrestrial_Soil,Random,0.4,0.3965,0.0968
Terrestrial_Soil,Random,0.4667,0.3396,0.0956
Terrestrial_Soil,Random,0.5333,0.2803,0.0921
Terrestrial_Soil,Random,0.6,0.2292,0.0854
Terrestrial_Soil,Random,0.6667,0.1821,0.0763
Terrestrial_Soil,Random,0.7333,0.1387,0.0623
Terrestrial_Soil,Random,0.8,0.1039,0.0451
Terrestrial_Soil,Random,0.8667,0.0795,0.0263
Terrestrial_Soil,Random,0.9333,0.0667,0.0
Terrestrial_Soil,Random,1.0,0.0,0.0
