	faith_pd
Q1_Seed2_S9_L001	14.15892566935011
Q1_Seed3_S10_L001	11.61234775732194
Q1-1-Swab1_S1_L001	8.011638195652075
Q1-1-Swab2_S2_L001	5.828292786028382
Q1-Arcillite1_S22_L001	10.40327430515949
Q1-Arcillite2_S23_L001	9.9054295290728
Q1-Arcillite3_S24_L001	10.58890330183238
Q1-Arcillite4_S25_L001	10.26966265133026
Q1-Foam1_S13_L001	9.69657804788285
Q1-Foam2_S14_L001	9.814835761072024
Q1-Foam3_S15_L001	11.11973395505418
Q1-Rhizosphere_S21_L001	10.37351891256106
Q1-Root2_S18_L001	10.03941433400925
Q1-Root3_S19_L001	9.61938575722358
Q1-Root4_S20_L001	11.41886598053114
Q1-RSJ-Root1_S17_L001	13.4152110571049
Q1-Stem_S16_L001	9.478155287044164
Q1-Wick1_S9_L001	8.149792188984106
Q1-Wick2_S10_L001	9.340200350716623
Q1-Wick3_S11_L001	6.35929101009684
Q1-Wick4_S12_L001	7.933216201981869
Q2_Leaf_S2_L001	6.993464505176233
Q2-1-Swab3_S3_L001	6.446620127132897
Q2-1-Swab4_S4_L001	8.47158049617259
Q2-Arcillite1_S39_L001	16.26222449135624
Q2-Arcillite2_S40_L001	11.18725641472187
Q2-Arcillite3_S41_L001	11.00771372360832
Q2-Arcillite4_S42_L001	12.28306033265405
Q2-Foam1_S30_L001	7.621509678149712
Q2-Foam2_S31_L001	8.893951536372784
Q2-Foam3_S32_L001	9.14107016040721
Q2-Rhizosphere_S38_L001	15.19414816649259
Q2-Root2_S35_L001	8.41493284700336
Q2-Root3_S36_L001	9.811104170147743
Q2-Root4_S37_L001	10.07149561622612
Q2-RSJ-Root1_S34_L001	8.470851692172186
Q2-Stem_S33_L001	8.11353459519043
Q2-Water_S43_L001	8.73459632593755
Q2-Wick1_S26_L001	6.277110683412099
Q2-Wick2_S27_L001	14.74497514836394
Q2-Wick3_S28_L001	7.578520825533495
Q2-Wick4_S29_L001	6.442114156228958
Q3_Leaf_S3_L001	8.38205062107895
Q3-1-Swab5_S5_L001	6.093047513455847
Q3-1-Swab6_S6_L001	5.243028177002236
Q3-Arcillite1_S14_L001	10.29618611427667
Q3-Arcillite2_S15_L001	10.18451443139061
Q3-Arcillite3_S16_L001	9.779760358991282
Q3-Arcillite4_S17_L001	9.58335294251932
Q3-Foam1_S5_L001	7.898639931512301
Q3-Foam2_S6_L001	9.470695992088435
Q3-Foam3_S7_L001	8.533616878218348
Q3-Rhizosphere_S13_L001	8.952353874015834
Q3-Root1_S9_L001	18.63169748596008
Q3-Root2_S10_L001	9.164460853543314
Q3-Root3_S11_L001	8.750962399328614
Q3-Root4_S12_L001	9.456622751674653
Q3-Stem_S8_L001	10.98989880915347
Q3-Water_S18_L001	7.276426132820676
Q3-Wick1_S1_L001	9.248419240782356
Q3-Wick2_S2_L001	11.0467860693644
Q3-Wick3_S3_L001	8.433077045802154
Q3-Wick4_S4_L001	14.23298980394041
Q4_Fruit1_S19_L001	17.85136486760962
Q4_Fruit3_S21_L001	13.46940019141869
Q4_Leaf_S4_L001	14.3474076818627
Q4_Seed3_S24_L001	11.63330278103271
Q4-1-Swab7_S7_L001	7.720046422031668
Q4-1-Swab8_S8_L001	9.055534132323816
Q4-Arcillite1_S32_L001	10.56490356951886
Q4-Arcillite2_S33_L001	11.48020364481952
Q4-Arcillite3_S34_L001	10.71669825068861
Q4-Arcillite4_S35_L001	10.67461653502388
Q4-Foam1_S23_L001	8.3595358758119
Q4-Foam2_S24_L001	10.85907086646809
Q4-Foam3_S25_L001	10.40054771246226
Q4-Rhizosphere_S31_L001	11.47991579802083
Q4-Root1_S27_L001	8.488380264042313
Q4-Root2_S28_L001	8.778761012110767
Q4-Root3_S29_L001	10.45093787597919
Q4-Root4_S30_L001	10.0750670376961
Q4-Stem_S26_L001	8.087060968337555
Q4-Water_S36_L001	8.902371591641373
Q4-Wick1_S19_L001	7.316961843116246
Q4-Wick2_S20_L001	9.77016794040808
Q4-Wick3_S21_L001	22.74570695455698
Q4-Wick4_S22_L001	10.0441369337542
SanSeed3_S27_L001	9.929033578544477
Terrestrial_SRR30151802	18.63511191931211
Terrestrial_SRR30151803	25.30916128061374
Terrestrial_SRR30151804	15.65083406533698
Terrestrial_SRR30151805	26.88258943363186
Terrestrial_SRR30151806	22.21918609815769
Terrestrial_SRR30151807	23.89684630145927
Terrestrial_SRR30151818	29.12495226309153
Terrestrial_SRR30151829	29.16798711527418
Terrestrial_SRR30151830	18.9031590450137
Terrestrial_SRR30151831	27.49219562479886
Terrestrial_SRR30151832	28.73652493352111
Terrestrial_SRR30151833	20.32858034750188
Terrestrial_SRR30151834	29.27275685864721
Terrestrial_SRR30151835	28.2545832290147
Terrestrial_SRR30151836	26.12374164847648
Terrestrial_SRR30151837	26.57031378583592
Terrestrial_SRR30151838	27.3512262449357
Terrestrial_SRR30151839	13.28076484129848
Terrestrial_SRR30151840	29.27775420779872
Terrestrial_SRR30151841	33.03329601860916
UnsanSeed1_S28_L001	15.8924759584734
UnsanSeed2_S29_L001	13.62526174912627
UnsanSeed3_S30_L001	7.808194256377773
